Date,Open Price,Close Price,High,Low
2017-10-21,5993.11,6006.65,6187.2,5874.54
2017-10-22,6006.65,5982.86,6070.56,5722.98
2017-10-23,5982.86,5903.61,6048.98,5644.22
2017-10-24,5903.61,5513.08,5904.63,5463.41
2017-10-25,5513.08,5734.0,5747.96,5375.64
2017-10-26,5734.0,5887.61,5970.4,5689.92
2017-10-27,5887.62,5764.56,5997.83,5692.32
2017-10-28,5764.56,5726.61,5871.04,5654.8
2017-10-29,5726.61,6147.52,6295.43,5679.37
2017-10-30,6147.7,6124.28,6226.18,6018.97
2017-10-31,6124.28,6451.24,6467.2,6090.83
2017-11-01,6449.1,6737.78,6738.74,6355.0
2017-11-02,6737.78,7024.81,7339.91,6737.77
2017-11-03,7024.81,7152.12,7445.62,6938.93
2017-11-04,7146.98,7363.8,7492.24,6957.84
2017-11-05,7363.8,7389.55,7599.44,7284.33
2017-11-06,7389.55,6959.23,7429.7,6934.73
2017-11-07,6959.27,7102.75,7222.37,6957.8
2017-11-08,7102.23,7444.36,7869.1,7026.97
2017-11-09,7444.36,7129.59,7457.12,7040.83
2017-11-10,7129.59,6565.8,7318.97,6406.05
2017-11-11,6565.8,6339.86,6821.5,6197.87
2017-11-12,6339.87,5878.13,6490.53,5493.64
2017-11-13,5878.09,6522.45,6760.15,5828.34
2017-11-14,6522.45,6597.06,6728.59,6419.18
2017-11-15,6597.06,7283.22,7330.06,6596.94
2017-11-16,7283.02,7853.68,7964.64,7119.17
2017-11-17,7853.68,7699.95,8000.19,7534.7
2017-11-18,7699.95,7780.91,7857.52,7458.9
2017-11-19,7781.02,8042.64,8100.87,7675.41
2017-11-20,8042.64,8244.69,8294.12,7947.28
2017-11-21,8245.87,8099.97,8368.36,7819.06
2017-11-22,8099.92,8234.55,8304.37,8091.63
2017-11-23,8234.5,8013.41,8266.55,8012.35
2017-11-24,8013.38,8200.8,8332.94,7900.17
2017-11-25,8203.45,8754.69,8761.98,8153.7
2017-11-26,8754.62,9318.42,9474.62,8746.56
2017-11-27,9318.42,9733.2,9733.61,9316.84
2017-11-28,9732.63,9906.04,9969.58,9638.2
2017-11-29,9906.04,9837.86,11417.84,8938.7
2017-11-30,9848.05,9946.76,10689.06,9023.77
2017-12-01,9947.08,10861.47,10942.8,9420.93
2017-12-02,10861.47,10912.73,11175.23,10715.55
2017-12-03,10912.72,11246.21,11851.09,10578.43
2017-12-04,11244.2,11623.91,11624.63,10917.81
2017-12-05,11624.37,11667.13,11901.87,11486.13
2017-12-06,11667.13,13749.57,13843.2,11661.76
2017-12-07,13750.09,16850.31,16879.26,13401.61
2017-12-08,16867.98,16047.61,17294.85,13906.1
2017-12-09,16048.18,14843.42,16313.18,13151.47
2017-12-10,14839.98,15059.6,15783.2,13031.0
2017-12-11,15060.45,16732.47,17399.18,15024.56
2017-12-12,16733.29,17083.9,17560.65,16254.53
2017-12-13,17083.9,16286.82,17267.96,15669.86
2017-12-14,16286.82,16467.91,16941.08,16023.64
2017-12-15,16467.91,17604.85,17987.03,16442.2
2017-12-16,17594.08,19345.49,19587.7,17318.54
2017-12-17,19346.6,19065.71,19870.62,18750.91
2017-12-18,19065.71,18972.32,19221.1,18114.42
2017-12-19,18971.19,17523.7,19021.97,16812.8
2017-12-20,17521.73,16461.97,17813.6,15642.69
2017-12-21,16461.09,15632.12,17301.83,14952.98
2017-12-22,15632.12,13664.97,15823.72,10875.71
2017-12-23,13664.97,14396.46,15493.23,13356.07
2017-12-24,14396.63,13789.95,14413.72,12166.45
2017-12-25,13789.95,13833.49,14467.43,13010.71
2017-12-26,13830.19,15756.56,16094.67,13748.49
2017-12-27,15757.02,15416.64,16514.59,14534.66
2017-12-28,15416.34,14398.7,15505.51,13466.07
2017-12-29,14398.45,14392.57,15109.81,13951.08
2017-12-30,14392.14,12531.52,14461.46,11962.09
2017-12-31,12532.38,13850.4,14241.82,12359.43
2018-01-01,13850.49,13444.88,13921.53,12877.67
2018-01-02,13444.88,14754.13,15306.13,12934.16
2018-01-03,14754.09,15156.62,15435.01,14579.71
2018-01-04,15156.49,15180.08,15408.66,14244.67
2018-01-05,15180.08,16954.78,17126.95,14832.36
2018-01-06,16954.76,17172.3,17252.85,16286.57
2018-01-07,17174.5,16228.16,17184.81,15791.13
2018-01-08,16228.26,14976.17,16302.92,13902.31
2018-01-09,14976.17,14468.5,15390.28,14221.55
2018-01-10,14468.09,14919.49,14919.49,13450.54
2018-01-11,14920.36,13308.06,14979.96,12825.95
2018-01-12,13308.06,13841.19,14129.08,12851.91
2018-01-13,13841.19,14243.12,14595.04,13830.28
2018-01-14,14244.12,13638.63,14415.67,13031.91
2018-01-15,13638.63,13631.98,14355.82,13416.71
2018-01-16,13634.6,11282.49,13648.84,10032.69
2018-01-17,11282.49,11162.7,11736.3,9205.38
2018-01-18,11162.7,11175.52,12018.43,10642.33
2018-01-19,11175.52,11521.76,11780.49,10867.18
2018-01-20,11521.82,12783.94,13031.04,11502.11
2018-01-21,12783.54,11549.93,12787.35,11101.73
2018-01-22,11549.98,10814.52,11913.74,10067.76
2018-01-23,10814.52,10858.23,11388.52,9980.5
2018-01-24,10853.78,11429.02,11531.6,10506.55
2018-01-25,11428.11,11175.87,11741.92,10930.34
2018-01-26,11175.87,11104.2,11656.54,10346.86
2018-01-27,11104.34,11459.71,11638.69,10879.2
2018-01-28,11460.39,11767.74,12064.19,11407.94
2018-01-29,11767.74,11233.95,11860.29,11089.52
2018-01-30,11234.32,10107.26,11263.7,9871.21
2018-01-31,10107.4,10226.86,10377.96,9698.13
2018-02-01,10226.86,9114.72,10280.84,8726.95
2018-02-02,9114.73,8870.82,9147.93,7786.2
2018-02-03,8872.87,9251.27,9504.37,8194.68
2018-02-04,9251.27,8218.05,9400.99,7889.83
2018-02-05,8218.05,6937.08,8391.29,6627.31
2018-02-06,6936.43,7701.25,7932.38,5968.36
2018-02-07,7701.25,7592.72,8572.68,7208.86
2018-02-08,7593.78,8260.69,8643.94,7590.48
2018-02-09,8259.26,8696.83,8743.2,7775.36
2018-02-10,8696.83,8569.29,9081.49,8176.25
2018-02-11,8569.32,8084.61,8573.35,7862.31
2018-02-12,8084.61,8911.27,8997.34,8084.41
2018-02-13,8911.17,8544.69,8955.15,8379.35
2018-02-14,8544.69,9485.64,9508.22,8542.98
2018-02-15,9485.64,10033.75,10223.58,9363.38
2018-02-16,10033.75,10188.73,10303.14,9720.38
2018-02-17,10188.73,11097.21,11119.45,10074.07
2018-02-18,11097.21,10417.23,11288.34,10161.01
2018-02-19,10418.12,11182.28,11265.96,10336.32
2018-02-20,11182.28,11256.43,11802.23,11130.95
2018-02-21,11256.78,10481.66,11295.58,10256.21
2018-02-22,10481.66,9847.96,10941.57,9757.19
2018-02-23,9847.96,10175.51,10420.67,9604.0
2018-02-24,10175.51,9705.73,10528.0,9396.54
2018-02-25,9705.73,9610.11,9873.79,9329.44
2018-02-26,9610.11,10326.5,10457.51,9411.82
2018-02-27,10326.5,10594.76,10879.38,10154.24
2018-02-28,10594.76,10334.44,11067.76,10303.14
2018-03-01,10334.44,10929.37,11090.3,10247.56
2018-03-02,10929.37,11043.12,11191.94,10801.45
2018-03-03,11043.12,11465.36,11530.66,11043.12
2018-03-04,11465.36,11504.42,11539.79,11084.01
2018-03-05,11503.94,11440.73,11694.15,11431.55
2018-03-06,11440.33,10735.45,11441.65,10589.28
2018-03-07,10735.45,9928.56,10913.7,9470.73
2018-03-08,9928.56,9316.72,10119.21,9086.85
2018-03-09,9316.77,9252.76,9433.38,8393.45
2018-03-10,9252.76,8797.27,9518.62,8727.43
2018-03-11,8797.27,9544.84,9735.64,8484.32
2018-03-12,9543.98,9142.15,9907.41,8796.52
2018-03-13,9142.27,9160.12,9486.12,8856.65
2018-03-14,9160.12,8217.7,9360.66,7966.94
2018-03-15,8216.22,8268.41,8432.12,7698.47
2018-03-16,8267.95,8283.23,8616.63,7924.11
2018-03-17,8283.23,7883.45,8360.64,7765.41
2018-03-18,7882.67,8215.4,8299.86,7318.46
2018-03-19,8215.5,8623.14,8725.6,8129.66
2018-03-20,8623.14,8920.71,9056.23,8339.8
2018-03-21,8920.53,8911.35,9184.51,8778.69
2018-03-22,8911.37,8724.98,9107.0,8500.88
2018-03-23,8724.98,8934.8,8935.88,8307.58
2018-03-24,8935.51,8548.06,9036.23,8515.53
2018-03-25,8548.39,8472.84,8690.36,8395.85
2018-03-26,8472.56,8152.2,8521.04,7869.27
2018-03-27,8152.18,7808.48,8226.24,7752.3
2018-03-28,7808.42,7959.78,8117.79,7752.6
2018-03-29,7959.78,7106.62,7983.77,6927.11
2018-03-30,7106.62,6853.76,7280.27,6595.26
2018-03-31,6853.75,6943.77,7228.4,6806.34
2018-04-01,6943.77,6835.84,7056.22,6463.54
2018-04-02,6835.58,7074.6,8218.66,6792.3
2018-04-03,7074.65,7434.3,7528.97,7039.88
2018-04-04,7434.3,6815.5,7442.42,6727.09
2018-04-05,6815.5,6790.45,6933.66,6602.38
2018-04-06,6790.45,6634.86,6869.53,6526.67
2018-04-07,6634.86,6917.2,7083.85,6624.47
2018-04-08,6917.2,7049.92,7132.03,6911.02
2018-04-09,7049.92,6789.53,7204.28,6633.69
2018-04-10,6789.53,6871.07,6922.84,6676.72
2018-04-11,6871.07,6977.13,6999.37,6839.16
2018-04-12,6977.04,7927.73,8051.95,6791.33
2018-04-13,7927.73,7899.11,8237.16,7758.8
2018-04-14,7898.74,8022.51,8195.34,7841.19
2018-04-15,8022.51,8376.73,8437.03,8021.04
2018-04-16,8376.73,8079.77,8430.93,7929.24
2018-04-17,8079.77,7921.63,8187.6,7858.12
2018-04-18,7921.65,8189.96,8246.57,7908.92
2018-04-19,8189.92,8301.82,8321.01,8136.42
2018-04-20,8301.82,8877.08,8945.14,8243.49
2018-04-21,8877.15,8935.72,9047.82,8631.18
2018-04-22,8935.85,8823.36,9043.98,8788.44
2018-04-23,8823.46,8968.25,9025.73,8804.2
2018-04-24,8967.86,9655.77,9741.91,8957.68
2018-04-25,9657.69,8873.62,9765.23,8757.06
2018-04-26,8873.57,9282.12,9315.13,8669.38
2018-04-27,9289.01,8938.47,9385.87,8923.48
2018-04-28,8938.47,9351.47,9435.9,8892.52
2018-04-29,9349.94,9407.04,9552.67,9189.07
2018-04-30,9407.35,9248.45,9459.81,9133.6
2018-05-01,9248.25,9077.28,9251.66,8851.1
2018-05-02,9077.28,9232.19,9271.62,8993.82
2018-05-03,9232.19,9745.04,9817.19,9172.28
2018-05-04,9746.26,9699.61,9785.15,9547.21
2018-05-05,9700.37,9845.9,9968.85,9687.09
2018-05-06,9846.44,9644.92,9936.96,9441.93
2018-05-07,9643.99,9377.81,9662.23,9202.13
2018-05-08,9377.08,9196.13,9472.09,9063.07
2018-05-09,9196.13,9321.16,9373.46,8987.27
2018-05-10,9321.52,9032.22,9393.95,9017.13
2018-05-11,9032.22,8421.0,9032.27,8363.5
2018-05-12,8420.82,8486.67,8653.8,8225.97
2018-05-13,8488.07,8709.46,8773.96,8350.91
2018-05-14,8709.46,8672.9,8883.0,8312.72
2018-05-15,8672.88,8480.16,8848.69,8441.25
2018-05-16,8480.16,8344.78,8501.65,8119.17
2018-05-17,8342.69,8071.04,8476.45,8015.77
2018-05-18,8071.04,8247.91,8280.45,7940.35
2018-05-19,8247.91,8249.24,8397.27,8160.8
2018-05-20,8249.24,8533.0,8591.45,8181.46
2018-05-21,8533.22,8419.65,8585.85,8347.88
2018-05-22,8419.67,7992.75,8428.6,7962.43
2018-05-23,7992.75,7505.77,8031.63,7460.66
2018-05-24,7505.77,7584.74,7729.48,7283.77
2018-05-25,7584.78,7475.36,7652.37,7347.96
2018-05-26,7475.36,7355.06,7626.69,7314.71
2018-05-27,7355.06,7362.23,7420.07,7256.67
2018-05-28,7362.23,7118.88,7455.55,7092.91
2018-05-29,7118.88,7474.75,7533.03,7069.01
2018-05-30,7474.75,7393.02,7571.08,7295.78
2018-05-31,7393.02,7502.15,7608.87,7349.52
2018-06-01,7501.74,7530.55,7614.66,7370.27
2018-06-02,7530.55,7643.26,7697.34,7467.79
2018-06-03,7643.26,7719.75,7774.96,7606.76
2018-06-04,7719.73,7503.2,7760.73,7469.21
2018-06-05,7503.32,7629.4,7672.7,7394.97
2018-06-06,7629.4,7661.79,7701.35,7504.98
2018-06-07,7661.79,7700.11,7755.92,7651.13
2018-06-08,7700.4,7627.52,7709.61,7559.5
2018-06-09,7627.56,7513.69,7691.74,7495.72
2018-06-10,7513.76,6773.72,7514.04,6661.98
2018-06-11,6773.72,6887.37,6913.85,6652.89
2018-06-12,6887.43,6556.94,6888.33,6462.61
